3injectors,13,794,,Injector:0445B2904V,,,,,,,,,,,,
,262,0.58,0.99,1.44,1.75,2.05,2.27,2.63,2.74,2.84,2.89,3.16,3.28,3.53,,
,265,0.59,1.00,1.40,1.76,2.06,2.29,2.67,2.79,2.89,2.97,3.25,3.33,3.78,,
,268,0.61,0.95,1.37,1.72,2.03,2.30,2.72,2.79,2.89,3.03,3.48,3.37,3.86,,
,271,0.64,0.93,1.33,1.72,2.05,2.32,2.73,2.83,2.97,3.19,3.52,3.56,4.15,,
,274,0.63,0.91,1.30,1.72,2.03,2.32,2.75,2.93,3.03,3.19,3.58,3.75,4.28,,
,277,0.59,0.88,1.28,1.70,2.04,2.37,2.80,3.02,3.22,3.39,3.63,4.03,4.34,,
,280,0.57,0.85,1.28,1.70,2.08,2.38,2.85,3.10,3.43,3.45,4.18,4.39,5.06,,
,283,0.55,0.85,1.28,1.71,2.08,2.42,2.96,3.18,3.51,3.84,4.45,4.64,5.73,,
,286,0.55,0.84,1.28,1.69,2.10,2.48,3.05,3.31,3.55,4.01,4.69,4.98,5.91,,
,289,0.54,0.82,1.28,1.73,2.12,2.51,3.15,3.45,3.75,4.08,4.88,5.17,6.56,,
,292,0.54,0.83,1.25,1.71,2.17,2.58,3.19,3.54,4.00,4.31,4.89,5.57,6.98,,
,295,0.54,0.80,1.26,1.70,2.18,2.61,3.25,3.62,4.08,4.63,5.21,6.17,7.26,,
,298,0.52,0.81,1.27,1.76,2.16,2.68,3.34,3.60,4.44,4.71,5.77,7.10,8.28,,
,301,0.52,0.80,1.32,1.78,2.28,2.88,3.51,3.88,4.59,5.17,6.39,7.73,9.24,,
,304,0.51,0.78,1.31,1.80,2.33,2.86,3.72,4.24,4.89,5.56,6.77,8.11,10.11,,
,307,0.50,0.80,1.29,1.85,2.40,3.01,3.80,4.53,5.03,6.16,7.11,9.10,10.09,,
,310,0.52,0.81,1.31,1.86,2.46,3.08,3.91,4.59,5.33,6.46,7.71,9.68,11.65,,
,313,0.35,0.81,1.32,1.92,2.56,3.14,4.03,4.74,5.78,6.81,8.44,9.87,11.98,,
