3injectors,17,794,,Injector:O445B29762_00,,,,,,,,,,,,,,,
,232,0.36,0.46,0.67,0.75,0.75,0.82,0.76,0.76,0.72,0.66,0.54,0.51,0.47,0.43,0.39,0.12,0.11,
,235,0.34,0.49,0.67,0.73,0.73,0.87,0.76,0.79,0.75,0.68,0.59,0.58,0.54,0.53,0.50,0.25,0.14,
,238,0.33,0.46,0.66,0.73,0.75,0.90,0.76,0.87,0.76,0.73,0.70,0.69,0.61,0.57,0.54,0.33,0.30,
,241,0.33,0.46,0.66,0.79,0.80,0.91,0.84,0.86,0.84,0.76,0.73,0.70,0.66,0.69,0.61,0.36,0.30,
,244,0.29,0.43,0.66,0.75,0.82,0.91,0.92,0.92,0.90,0.80,0.76,0.78,0.72,0.75,0.72,0.46,0.29,
,247,0.29,0.40,0.65,0.76,0.80,0.94,0.90,0.92,0.91,0.87,0.82,0.76,0.73,0.80,0.71,0.47,0.54,
,250,0.32,0.46,0.69,0.75,0.80,0.95,0.95,0.95,0.94,0.88,0.90,0.86,0.84,0.91,0.84,0.59,0.72,
,253,0.29,0.43,0.66,0.78,0.80,0.98,0.96,1.01,1.01,1.05,0.92,0.92,0.92,0.95,0.91,0.62,0.79,
,256,0.30,0.43,0.69,0.78,0.86,1.05,1.09,1.09,1.15,1.13,1.04,1.04,1.12,1.13,1.15,0.87,0.95,
,259,0.29,0.46,0.70,0.78,0.88,1.11,1.13,1.15,1.19,1.17,1.08,1.15,1.19,1.26,1.26,0.97,1.07,
,262,0.32,0.48,0.69,0.82,0.88,1.13,1.15,1.21,1.20,1.21,1.20,1.20,1.27,1.38,1.27,1.03,1.17,
,265,0.29,0.46,0.70,0.84,0.87,1.12,1.19,1.21,1.24,1.21,1.26,1.36,1.35,1.48,1.46,1.13,1.51,
,268,0.30,0.44,0.70,0.87,0.87,1.19,1.19,1.36,1.33,1.36,1.29,1.53,1.48,1.64,1.71,1.23,1.44,
,271,0.32,0.47,0.73,0.88,0.95,1.23,1.27,1.37,1.38,1.40,1.34,1.52,1.49,1.75,1.72,1.20,1.59,
,274,0.32,0.51,0.75,0.91,0.95,1.30,1.41,1.52,1.52,1.55,1.45,1.63,1.58,1.91,1.92,1.48,1.86,
