3injectors,13,794,,Injector:0445B2905E,,,,,,,,,,,,,,,,,,,,,
,241,0.39,0.66,0.87,1.11,1.34,1.66,1.67,1.58,1.55,1.46,1.53,1.63,1.82,,,,,,,,,,,
,244,0.42,0.62,0.88,1.08,1.41,1.70,1.68,1.59,1.58,1.49,1.56,1.74,1.86,,,,,,,,,,,
,247,0.43,0.60,0.86,1.08,1.33,1.71,1.74,1.60,1.57,1.56,1.66,1.80,1.98,,,,,,,,,,,
,250,0.41,0.58,0.90,1.14,1.38,1.73,1.77,1.65,1.62,1.59,1.66,1.93,2.00,,,,,,,,,,,
,253,0.41,0.56,0.87,1.14,1.42,1.73,1.78,1.66,1.69,1.61,1.78,2.00,2.15,,,,,,,,,,,
,256,0.40,0.56,0.93,1.15,1.42,1.77,1.82,1.67,1.73,1.72,1.84,2.00,2.29,,,,,,,,,,,
,259,0.12,0.57,0.90,1.14,1.47,1.83,1.86,1.73,1.79,1.77,1.88,2.17,2.32,,,,,,,,,,,
,262,0.34,0.58,0.93,1.18,1.48,1.89,1.87,1.77,1.86,1.81,1.95,2.34,2.48,,,,,,,,,,,
,265,0.12,0.56,0.92,1.19,1.51,1.92,1.91,1.80,1.93,1.92,2.17,2.53,2.82,,,,,,,,,,,
,268,0.35,0.56,0.93,1.18,1.54,1.95,2.00,1.89,1.96,2.02,2.36,2.67,3.15,,,,,,,,,,,
,271,0.10,0.56,0.93,1.22,1.57,1.99,2.09,1.95,2.16,2.16,2.47,2.86,3.37,,,,,,,,,,,
,274,0.12,0.60,0.98,1.27,1.63,2.07,2.11,1.99,2.26,2.32,2.60,3.08,3.30,,,,,,,,,,,
,277,0.23,0.59,0.98,1.29,1.63,2.09,2.10,2.04,2.31,2.35,2.71,3.29,3.81,,,,,,,,,,,
,280,0.35,0.60,0.99,1.31,1.69,2.18,2.23,2.20,2.40,2.60,3.10,3.79,4.12,,,,,,,,,,,
,283,0.35,0.63,1.01,1.36,1.74,2.25,2.28,2.39,2.65,2.73,3.48,3.86,4.82,,,,,,,,,,,
,286,0.36,0.62,1.03,1.39,1.83,2.31,2.38,2.45,2.93,2.90,3.82,4.48,5.56,,,,,,,,,,,
,289,0.37,0.65,1.07,1.44,1.90,2.39,2.53,2.53,3.15,3.49,3.98,4.86,5.90,,,,,,,,,,,
,292,0.36,0.66,1.11,1.45,1.90,2.51,2.67,2.63,3.33,3.40,4.30,5.46,6.19,,,,,,,,,,,
,295,0.25,0.67,1.12,1.51,2.00,2.55,2.85,2.70,3.41,3.64,4.83,5.75,6.77,,,,,,,,,,,
,298,0.37,0.70,1.12,1.57,2.05,2.59,2.83,2.97,3.69,4.08,5.28,5.99,7.16,,,,,,,,,,,
,301,0.41,0.69,1.19,1.56,2.14,2.75,2.91,3.20,4.17,4.52,5.35,6.59,7.95,,,,,,,,,,,
,304,0.41,0.74,1.23,1.60,2.27,2.90,3.17,3.20,4.52,4.34,5.68,7.09,8.57,,,,,,,,,,,
,307,0.42,0.77,1.27,1.80,2.44,3.09,3.50,3.44,4.94,4.67,6.94,7.77,8.87,,,,,,,,,,,
,310,0.44,0.79,1.34,1.87,2.54,3.21,3.59,3.73,5.19,5.54,7.62,8.21,10.04,,,,,,,,,,,
,313,0.44,0.81,1.36,1.88,2.68,3.30,3.57,3.81,5.52,6.12,7.92,9.02,10.93,,,,,,,,,,,
,316,0.47,0.88,1.40,2.00,2.69,3.50,3.84,4.20,5.94,6.67,8.27,9.35,11.41,,,,,,,,,,,
,319,0.47,0.91,1.47,2.00,2.75,3.60,3.99,4.40,6.35,7.17,8.46,10.27,11.86,,,,,,,,,,,
,322,0.49,0.96,1.56,2.08,3.00,3.73,4.25,4.51,6.47,7.48,8.52,10.79,12.29,,,,,,,,,,,
,325,0.53,1.04,1.70,2.19,3.21,4.02,4.42,4.88,6.94,8.03,9.33,11.04,12.70,,,,,,,,,,,
