3injectors,19,340,,Injector:OB760R0_00,,,,,,,,,,,,,,,,
,194,0,0.27,0.753333333,1.06,1.39,1.65,1.913333333,2.153333333,2.34,2.413333333,2.473333333,2.61,2.886666667,3.18,3.276666667,3.473333333,3.776666667,3.93,4.37
,197,0,0.283333333,0.79,1.103333333,1.413333333,1.726666667,2,2.206666667,2.363333333,2.433333333,2.62,2.893333333,2.99,3.24,3.326666667,3.74,4.033333333,4.16,4.59
,200,0,0.423333333,0.8,1.126666667,1.48,1.763333333,2.056666667,2.266666667,2.516666667,2.593333333,2.706666667,2.93,3.226666667,3.48,3.606666667,3.773333333,4.153333333,4.405,5.145
,203,0,0.463333333,0.836666667,1.203333333,1.53,1.833333333,2.213333333,2.453333333,2.506666667,2.77,2.893333333,3.066666667,3.426666667,3.573333333,3.97,4.343333333,4.383333333,4.865,5.28
,206,0,0.456666667,0.88,1.226666667,1.616666667,1.896666667,2.286666667,2.533333333,2.73,2.893333333,3.053333333,3.196666667,3.526666667,3.9,4.053333333,4.383333333,4.736666667,4.78,5.79
,209,0,0.516666667,0.933333333,1.286666667,1.68,2.083333333,2.343333333,2.67,2.896666667,2.96,3.256666667,3.47,3.83,4.043333333,4.28,4.703333333,4.84,5.325,6.085
,212,0,0.526666667,0.986666667,1.356666667,1.79,2.14,2.48,2.763333333,2.973333333,3.256666667,3.49,3.64,4.1,4.29,4.61,4.93,5.193333333,5.605,6.055
,215,0,0.536666667,1,1.406666667,1.836666667,2.26,2.633333333,2.873333333,3.116666667,3.426666667,3.646666667,3.956666667,4.29,4.443333333,4.963333333,5.063333333,5.446666667,5.875,6.82
,218,0.253333333,0.59,1.03,1.48,1.973333333,2.31,2.766666667,3.05,3.226666667,3.516666667,3.936666667,4.176666667,4.493333333,4.8,5.023333333,5.433333333,5.943333333,6.63,7.315
,221,0,0.62,1.09,1.55,2.046666667,2.41,2.84,3.193333333,3.486666667,3.8,4.143333333,4.26,4.786666667,5.12,5.3,5.843333333,6.343333333,6.735,7.75
,224,0.273333333,0.66,1.153333333,1.623333333,2.136666667,2.59,3.006666667,3.3,3.646666667,3.99,4.32,4.593333333,4.983333333,5.433333333,5.763333333,6.25,6.56,7.2,7.71
,227,0.446666667,0.67,1.203333333,1.663333333,2.26,2.653333333,3.063333333,3.446666667,3.793333333,4.13,4.546666667,4.91,5.44,5.683333333,6.1,6.556666667,7.13,7.555,8.885
,230,0.473333333,0.706666667,1.233333333,1.803333333,2.333333333,2.846666667,3.343333333,3.74,4.126666667,4.45,4.813333333,5.17,5.663333333,6.106666667,6.526666667,7.016666667,7.72,8.52,9.535
,233,0.506666667,0.776666667,1.313333333,1.876666667,2.536666667,3.026666667,3.526666667,3.933333333,4.33,4.796666667,4.946666667,5.62,6.023333333,6.586666667,7.196666667,7.85,8.123333333,8.595,10.14
,236,0.536666667,0.82,1.403333333,1.96,2.676666667,3.183333333,3.706666667,4.096666667,4.59,5.106666667,5.223333333,5.853333333,6.566666667,6.823333333,7.323333333,8.45,8.89,9.405,10.73
,239,0.573333333,0.873333333,1.423333333,2.056666667,2.81,3.366666667,3.816666667,4.406666667,4.78,5.356666667,5.893333333,6.57,7.393333333,7.5,8.246666667,9.006666667,9.123333333,10.165,11.705
,242,0.6,0.876666667,1.48,2.12,2.906666667,3.52,4.093333333,4.566666667,5.113333333,5.826666667,6.173333333,6.916666667,7.643333333,8.536666667,8.646666667,9.596666667,10.33333333,10.91,11.935
,245,0.62,0.906666667,1.563333333,2.286666667,3.106666667,3.733333333,4.313333333,4.95,5.43,5.9,6.696666667,7.723333333,8.143333333,8.88,9.726666667,9.97,11.13,11.715,12.54
,248,0.66,0.993333333,1.613333333,2.383333333,3.163333333,3.923333333,4.526666667,5.22,5.97,6.563333333,7.166666667,7.843333333,8.556666667,9.473333333,10.18,10.99,11.82666667,12.245,13.24
,251,0.7,1.03,1.703333333,2.496666667,3.413333333,4.126666667,4.793333333,5.536666667,6.093333333,6.943333333,7.66,8.503333333,9.386666667,10.06,10.65666667,11.40666667,11.86333333,12.905,13.405
,254,0.756666667,1.12,1.83,2.596666667,3.5,4.253333333,4.986666667,5.74,6.426666667,7.33,8.06,8.856666667,9.763333333,10.48,11.31333333,11.62333333,12.41333333,13.29,13.89
,257,0.783333333,1.14,1.86,2.716666667,3.703333333,4.5,5.313333333,5.97,6.886666667,7.693333333,8.446666667,9.32,10.05666667,10.64,11.45333333,12.4,13.07666667,13.565,14.18
,260,0.846666667,1.226666667,1.993333333,2.803333333,3.85,4.773333333,5.586666667,6.576666667,7.233333333,8.033333333,8.773333333,9.653333333,10.33666667,11.10666667,11.84,12.7,13.41,14.08,14.76
,263,0.88,1.273333333,2.063333333,3.046666667,3.963333333,4.903333333,5.826666667,6.776666667,7.47,8.31,9.1,10.21,10.78333333,11.44666667,12.29333333,12.97,13.67666667,14.27,14.97
,266,0.92,1.35,2.136666667,3.163333333,4.196666667,5.086666667,6,7.106666667,7.79,8.583333333,9.266666667,10.23,10.98333333,11.87333333,12.62666667,13.61,14.07333333,14.715,15.225
,269,0.963333333,1.356666667,2.25,3.3,4.37,5.393333333,6.356666667,7.266666667,7.99,8.783333333,9.626666667,10.52333333,11.36666667,12.15,12.94666667,13.78,14.46333333,15.16,15.73
,272,1.01,1.48,2.326666667,3.393333333,4.576666667,5.543333333,6.53,7.466666667,8.28,8.973333333,9.86,10.70333333,11.64,12.46,13.26,14.19,14.81666667,15.29,16.065
,275,1.053333333,1.546666667,2.513333333,3.553333333,4.733333333,5.713333333,6.743333333,7.623333333,8.48,9.376666667,10.11,11.18333333,11.94333333,12.94666667,13.55333333,14.48666667,15.18333333,15.675,16.4
,278,1.13,1.596666667,2.52,3.7,4.843333333,5.92,7.006666667,7.943333333,8.633333333,9.52,10.27666667,11.31,12.26,13.1,13.83333333,14.91,15.58666667,16.25,17.015
,281,1.153333333,1.64,2.696666667,3.843333333,5.02,6.083333333,7.21,8.213333333,8.913333333,9.77,10.66333333,11.75,12.55666667,13.46666667,14.20333333,15.33666667,15.8,16.82,17.795
,284,1.183333333,1.723333333,2.76,4.03,5.19,6.27,7.476666667,8.463333333,9.28,10.01333333,10.83333333,12.05333333,13.03333333,13.73,14.65666667,15.65666667,16.57666667,17.065,17.815
,287,1.246666667,1.806666667,2.796666667,4.096666667,5.456666667,6.54,7.663333333,8.593333333,9.45,10.27,11.39333333,12.31,13.09333333,14.3,15.14666667,16.01333333,16.50666667,17.58,18.765
,290,1.32,1.893333333,2.99,4.28,5.523333333,6.71,7.83,8.803333333,9.64,10.59,11.73666667,12.80666667,13.77333333,14.63,15.32,16.35666667,17.22333333,18.085,18.43
,293,1.346666667,1.933333333,3.116666667,4.43,5.67,6.99,7.95,9.076666667,9.896666667,10.91,11.95,13.03,14.01,14.86666667,15.83,16.59,17.59,18.3,19.735
,296,1.4,1.993333333,3.233333333,4.513333333,5.863333333,7.076666667,8.223333333,9.176666667,10.29333333,11.31,12.24,13.43666667,14.33,15.19666667,16.26,17.29,18.11,18.95,20.03
,299,1.453333333,2.053333333,3.346666667,4.63,6.093333333,7.266666667,8.416666667,9.496666667,10.32333333,11.44333333,12.59333333,13.71333333,14.77666667,15.67666667,16.67333333,18.00333333,18.67,19.67,20.595
